OWNER;TABLE_NAME;COLUMN_NAME;COLUMN_ID;DATA_TYPE;DATA_LENGTH;DATA_PRECISION;DATA_SCALE
MAXIMO;ADDRESS;ORGID;1;VARCHAR2;32;;
MAXIMO;ADDRESS;ADDRESSCODE;2;VARCHAR2;120;;
MAXIMO;ADDRESS;DESCRIPTION;3;VARCHAR2;400;;
MAXIMO;ADDRESS;ADDRESS1;4;VARCHAR2;200;;
MAXIMO;ADDRESS;ADDRESS2;5;VARCHAR2;200;;
MAXIMO;ADDRESS;ADDRESS3;6;VARCHAR2;200;;
MAXIMO;ADDRESS;ADDRESS4;7;VARCHAR2;200;;
MAXIMO;ADDRESS;ADDRESS5;8;VARCHAR2;200;;
MAXIMO;ADDRESS;CHANGEBY;9;VARCHAR2;120;;
MAXIMO;ADDRESS;CHANGEDATE;10;DATE;7;;
MAXIMO;ADDRESS;ADDRESSID;11;NUMBER;22;;
MAXIMO;ADDRESS;LANGCODE;12;VARCHAR2;16;;
MAXIMO;ADDRESS;HASLD;13;NUMBER;22;;
MAXIMO;ADDRESS;ROWSTAMP;14;VARCHAR2;160;;
MAXIMO;ADDRESS;TAX1CODE;15;VARCHAR2;32;;
MAXIMO;ADDRESS;TAX2CODE;16;VARCHAR2;32;;
MAXIMO;ADDRESS;TAX3CODE;17;VARCHAR2;32;;
MAXIMO;ADDRESS;TAX4CODE;18;VARCHAR2;32;;
MAXIMO;ADDRESS;TAX5CODE;19;VARCHAR2;32;;
MAXIMO;ALNDOMAIN;DOMAINID;1;VARCHAR2;72;;
MAXIMO;ALNDOMAIN;VALUE;2;VARCHAR2;1020;;
MAXIMO;ALNDOMAIN;DESCRIPTION;3;VARCHAR2;632;;
MAXIMO;ALNDOMAIN;SITEID;4;VARCHAR2;32;;
MAXIMO;ALNDOMAIN;ORGID;5;VARCHAR2;32;;
MAXIMO;ALNDOMAIN;ALNDOMAINID;6;NUMBER;22;;
MAXIMO;ALNDOMAIN;VALUEID;7;VARCHAR2;1200;;
